protein_ac,gene_name,protein_name,entrez_id
Q8TEA1,NSUN6,tRNA (cytosine(72)-C(5))-methyltransferase NSUN6,221078
Q2I0M4,LRRC26,Leucine-rich repeat-containing protein 26,389816
Q9UPE1,SRPK3,SRSF protein kinase 3,26576
Q9NZJ4,SACS,Sacsin,26278
Q8TB68,PRR7,Proline-rich protein 7,80758
Q9Y6H8,GJA3,Gap junction alpha-3 protein,2700
Q11203,ST3GAL3,CMP-N-acetylneuraminate-beta-1,6487
P43304,GPD2,Glycerol-3-phosphate dehydrogenase,2820
P78524,ST5,Suppression of tumorigenicity 5 protein,6764
Q2MV58,TCTN1,Tectonic-1,79600
A5D6W6,FITM1,Fat storage-inducing transmembrane protein 1,161247
O43716,GATC,Glutamyl-tRNA(Gln) amidotransferase subunit C,283459
Q8WTX9,ZDHHC1,Probable palmitoyltransferase ZDHHC1,29800
O95685,PPP1R3D,Protein phosphatase 1 regulatory subunit 3D,5509
Q13237,PRKG2,cGMP-dependent protein kinase 2,5593
Q9BRA0,NAA38,N-alpha-acetyltransferase 38,84316
P59923,ZNF445,Zinc finger protein 445,353274
Q13733,ATP1A4,Sodium/potassium-transporting ATPase subunit alpha-4,480
Q2M2I8,AAK1,AP2-associated protein kinase 1,22848
Q9H467,CUEDC2,CUE domain-containing protein 2,79004
Q5VZV1,METTL21C,Protein-lysine methyltransferase METTL21C,196541
P47900,P2RY1,P2Y purinoceptor 1,5028
P00367,GLUD1,Glutamate dehydrogenase 1,2746
Q8NA92,THAP8,THAP domain-containing protein 8,199745
Q9BZL1,UBL5,Ubiquitin-like protein 5,59286
P11473,VDR,Vitamin D3 receptor,7421
P15514,AREG,Amphiregulin,374
P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase,52
Q9NRB3,CHST12,Carbohydrate sulfotransferase 12,55501
Q7L1I2,SV2B,Synaptic vesicle glycoprotein 2B,9899
Q9P218,COL20A1,Collagen alpha-1(XX) chain,57642
P15407,FOSL1,Fos-related antigen 1,8061
Q9Y426,C2CD2,C2 domain-containing protein 2,25966
Q9NZU0,FLRT3,Leucine-rich repeat transmembrane protein FLRT3,23767
O60637,TSPAN3,Tetraspanin-3,10099
Q9UDX4,SEC14L3,SEC14-like protein 3,266629
P55773,CCL23,C-C motif chemokine 23,6368
Q76MJ5,ERN2,Serine/threonine-protein kinase/endoribonuclease IRE2,10595
Q8IXR5,FAM178B,Protein FAM178B,51252
Q9H4E5,RHOJ,Rho-related GTP-binding protein RhoJ,57381
Q8NHP6,MOSPD2,Motile sperm domain-containing protein 2,158747
A6NFN9,ANKUB1,Protein ANKUB1,389161
Q9Y2W1,THRAP3,Thyroid hormone receptor-associated protein 3,9967
Q8WUA8,TSKU,Tsukushin,25987
Q9H112,CST11,Cystatin-11,140880
Q92904,DAZL,Deleted in azoospermia-like,1618
A6NGE4,DCAF8L1,DDB1- and CUL4-associated factor 8-like protein 1,139425
O75293,GADD45B,Growth arrest and DNA damage-inducible protein GADD45 beta,4616
Q53RE8,ANKRD39,Ankyrin repeat domain-containing protein 39,51239
Q9UL45,BLOC1S6,Biogenesis of lysosome-related organelles complex 1 subunit 6,26258
Q9UBZ4,APEX2,DNA-(apurinic or apyrimidinic site) lyase 2,27301
O60909,B4GALT2,Beta-1,8704
Q8WVT3,TRAPPC12,Trafficking protein particle complex subunit 12,51112
Q9UI26,IPO11,Importin-11,51194
Q8TBB1,LNX1,E3 ubiquitin-protein ligase LNX,84708
P35498,SCN1A,Sodium channel protein type 1 subunit alpha,6323
Q9Y303,AMDHD2,N-acetylglucosamine-6-phosphate deacetylase,51005
Q29RF7,PDS5A,Sister chromatid cohesion protein PDS5 homolog A,23244
Q9P2K5,MYEF2,Myelin expression factor 2,50804
P02808,STATH,Statherin,6779
P54098,POLG,DNA polymerase subunit gamma-1,5428
Q9Y3N9,OR2W1,Olfactory receptor 2W1,26692
Q96CQ1,SLC25A36,Solute carrier family 25 member 36,55186
O43300,LRRTM2,Leucine-rich repeat transmembrane neuronal protein 2,26045
P09496,CLTA,Clathrin light chain A,1211
Q9BRU2,TCEAL7,Transcription elongation factor A protein-like 7,56849
O95848,NUDT14,Uridine diphosphate glucose pyrophosphatase NUDT14,256281
Q9NQ11,ATP13A2,Cation-transporting ATPase 13A2,23400
Q86VE0,MYPOP,Myb-related transcription factor,339344
Q9NZN3,EHD3,EH domain-containing protein 3,30845
Q8N2I2,ZNF619,Zinc finger protein 619,285267
Q6UXS9,CASP12,Inactive caspase-12,100506742
P21754,ZP3,Zona pellucida sperm-binding protein 3,7784
O15040,TECPR2,Tectonin beta-propeller repeat-containing protein 2,9895
Q96PQ1,SIGLEC12,Sialic acid-binding Ig-like lectin 12,89858
O15547,P2RX6,P2X purinoceptor 6,9127
O75665,OFD1,Oral-facial-digital syndrome 1 protein,8481
Q16832,DDR2,Discoidin domain-containing receptor 2,4921
Q9Y2Q0,ATP8A1,Phospholipid-transporting ATPase IA,10396
P18077,RPL35A,60S ribosomal protein L35a,6165
O94892,ZNF432,Zinc finger protein 432,9668
Q9H841,NIPAL2,NIPA-like protein 2,79815
P36941,LTBR,Tumor necrosis factor receptor superfamily member 3,4055
Q16378,PRR4,Proline-rich protein 4,11272
P17030,ZNF25,Zinc finger protein 25,219749
Q8WXC6,COPS9,COP9 signalosome complex subunit 9,150678
P06239,LCK,Tyrosine-protein kinase Lck,3932
Q8NGM9,OR8D4,Olfactory receptor 8D4,338662
Q86W25,NLRP13,NACHT,126204
Q8IWA4,MFN1,Mitofusin-1,55669
Q8N4S9,MARVELD2,MARVEL domain-containing protein 2,153562
Q2TAK8,PWWP3A,PWWP domain-containing DNA repair factor 3A,84939
P05060,CHGB,Secretogranin-1,1114
Q5VY09,IER5,Immediate early response gene 5 protein,51278
O60583,CCNT2,Cyclin-T2,905
Q9Y5R5,DMRT2,Doublesex- and mab-3-related transcription factor 2,10655
P51812,RPS6KA3,Ribosomal protein S6 kinase alpha-3,6197
P04921,GYPC,Glycophorin-C,2995
Q5T7P3,LCE1B,Late cornified envelope protein 1B,353132
Q8IUF8,RIOX2,Ribosomal oxygenase 2,84864
Q9C0I9,LRRC27,Leucine-rich repeat-containing protein 27,80313
Q92541,RTF1,RNA polymerase-associated protein RTF1 homolog,23168
Q9NZC7,WWOX,WW domain-containing oxidoreductase,51741
Q9Y624,F11R,Junctional adhesion molecule A,50848
Q8IUE0,TGIF2LY,Homeobox protein TGIF2LY,90655
Q96M86,DNHD1,Dynein heavy chain domain-containing protein 1,144132
Q13643,FHL3,Four and a half LIM domains protein 3,2275
Q9H172,ABCG4,ATP-binding cassette sub-family G member 4,64137
Q9P2M1,LRP2BP,LRP2-binding protein,55805
Q03135,CAV1,Caveolin-1,857
O75339,CILP,Cartilage intermediate layer protein 1,8483
Q9HCL2,GPAM,Glycerol-3-phosphate acyltransferase 1,57678
Q96BN8,OTULIN,Ubiquitin thioesterase otulin,90268
Q9H3Y0,R3HDML,Peptidase inhibitor R3HDML,140902
P37023,ACVRL1,Serine/threonine-protein kinase receptor R3,94
Q18PE1,DOK7,Protein Dok-7,285489
Q9BXS9,SLC26A6,Solute carrier family 26 member 6,65010
O75317,USP12,Ubiquitin carboxyl-terminal hydrolase 12,219333
P25205,MCM3,DNA replication licensing factor MCM3,4172
P15863,PAX1,Paired box protein Pax-1,5075
P19338,NCL,Nucleolin,4691
Q06710,PAX8,Paired box protein Pax-8,7849
Q7L9L4,MOB1B,MOB kinase activator 1B,92597
Q6AZZ1,TRIM68,E3 ubiquitin-protein ligase TRIM68,55128
O15015,ZNF646,Zinc finger protein 646,9726
Q13203,MYBPH,Myosin-binding protein H,4608
P01308,INS,Insulin,3630
Q96CW6,SLC7A6OS,Probable RNA polymerase II nuclear localization protein SLC7A6OS,84138
Q9BRK5,SDF4,45 kDa calcium-binding protein,51150
Q8NAF0,ZNF579,Zinc finger protein 579,163033
Q02978,SLC25A11,Mitochondrial 2-oxoglutarate/malate carrier protein,8402
Q9BXX3,ANKRD30A,Ankyrin repeat domain-containing protein 30A,91074
Q969Q0,RPL36AL,60S ribosomal protein L36a-like,6166
Q8WXG8,S100Z,Protein S100-Z,170591
O94759,TRPM2,Transient receptor potential cation channel subfamily M member 2,7226
P46734,MAP2K3,Dual specificity mitogen-activated protein kinase kinase 3,5606
Q14767,LTBP2,Latent-transforming growth factor beta-binding protein 2,4053
Q08AH1,ACSM1,Acyl-coenzyme A synthetase ACSM1,116285
Q8WYK0,ACOT12,Acetyl-coenzyme A thioesterase,134526
O43765,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,6449
Q5VVQ6,YOD1,Ubiquitin thioesterase OTU1,55432
Q9HAT1,LMAN1L,Protein ERGIC-53-like,79748
Q8IYJ1,CPNE9,Copine-9,151835
P61224,RAP1B,Ras-related protein Rap-1b,5908
Q96LC9,BMF,Bcl-2-modifying factor,90427
Q9Y2G0,EFR3B,Protein EFR3 homolog B,22979
Q96GC9,VMP1,Vacuole membrane protein 1,81671
Q6X4W1,NSMF,NMDA receptor synaptonuclear signaling and neuronal migration factor,26012
Q8TAP8,PPP1R35,Protein phosphatase 1 regulatory subunit 35,221908
Q3KP66,INAVA,Innate immunity activator protein,55765
Q7RTP6,MICAL3,[F-actin]-monooxygenase MICAL3,57553
Q9UK59,DBR1,Lariat debranching enzyme,51163
Q53S58,TMEM177,Transmembrane protein 177,80775
Q9BQG1,SYT3,Synaptotagmin-3,84258
Q8NFR9,IL17RE,Interleukin-17 receptor E,132014
Q13064,MKRN3,Probable E3 ubiquitin-protein ligase makorin-3,7681
P11169,SLC2A3,Solute carrier family 2,6515
Q8NEG7,DENND6B,Protein DENND6B,414918
Q5H9J7,BEX5,Protein BEX5,340542
Q86W67,FAM228A,Protein FAM228A,653140
Q96II8,LRCH3,DISP complex protein LRCH3,84859
Q96EG1,ARSG,Arylsulfatase G,22901
Q6DKI1,RPL7L1,60S ribosomal protein L7-like 1,285855
O75364,PITX3,Pituitary homeobox 3,5309
Q8IYX7,SAXO1,Stabilizer of axonemal microtubules 1,158297
P35612,ADD2,Beta-adducin,119
P30048,PRDX3,Thioredoxin-dependent peroxide reductase,10935
Q86VW0,SESTD1,SEC14 domain and spectrin repeat-containing protein 1,91404
O60658,PDE8A,High affinity cAMP-specific and IBMX-insensitive 3',5151
Q7Z5J8,ANKAR,Ankyrin and armadillo repeat-containing protein,150709
Q96EN8,MOCOS,Molybdenum cofactor sulfurase,55034
Q92874,DNASE1L2,Deoxyribonuclease-1-like 2,1775
O00481,BTN3A1,Butyrophilin subfamily 3 member A1,11119
Q5T749,KPRP,Keratinocyte proline-rich protein,448834
P10082,PYY,Peptide YY,5697
P51684,CCR6,C-C chemokine receptor type 6,1235
Q96HC4,PDLIM5,PDZ and LIM domain protein 5,10611
Q7L945,ZNF627,Zinc finger protein 627,199692
Q9BTX3,TMEM208,Transmembrane protein 208,29100
Q08554,DSC1,Desmocollin-1,1823
Q8TEY7,USP33,Ubiquitin carboxyl-terminal hydrolase 33,23032
Q9Y3M8,STARD13,StAR-related lipid transfer protein 13,90627
P36537,UGT2B10,UDP-glucuronosyltransferase 2B10,7365
Q8TEV9,SMCR8,Guanine nucleotide exchange protein SMCR8,140775
P13640,MT1G,Metallothionein-1G,4495
P21281,ATP6V1B2,V-type proton ATPase subunit B,526
A6NNL5,C15orf61,Uncharacterized protein C15orf61,145853
Q8N441,FGFRL1,Fibroblast growth factor receptor-like 1,53834
Q8TCD5,NT5C,5'(3')-deoxyribonucleotidase,30833
Q6NSJ0,MYORG,Myogenesis-regulating glycosidase,57462
Q7Z465,BNIPL,Bcl-2/adenovirus E1B 19 kDa-interacting protein 2-like protein,149428
Q96AA8,JAKMIP2,Janus kinase and microtubule-interacting protein 2,9832
Q7Z4H8,POGLUT3,Protein O-glucosyltransferase 3,143888
Q9H6B4,CLMP,CXADR-like membrane protein,79827
Q6ZW61,BBS12,Bardet-Biedl syndrome 12 protein,166379
Q8N1V2,CFAP52,Cilia- and flagella-associated protein 52,146845
Q8NHP7,EXD1,piRNA biogenesis protein EXD1,161829
Q13285,NR5A1,Steroidogenic factor 1,2516
P09038,FGF2,Fibroblast growth factor 2,2247
O95922,TTLL1,Probable tubulin polyglutamylase TTLL1,25809
P14735,IDE,Insulin-degrading enzyme,3416
Q53T59,HS1BP3,HCLS1-binding protein 3,64342
P20809,IL11,Interleukin-11,3589
Q02928,CYP4A11,Cytochrome P450 4A11,1579
Q9H1Y0,ATG5,Autophagy protein 5,9474
Q8WWY3,PRPF31,U4/U6 small nuclear ribonucleoprotein Prp31,26121
Q13416,ORC2,Origin recognition complex subunit 2,4999
P12273,PIP,Prolactin-inducible protein,5304
Q86UF1,TSPAN33,Tetraspanin-33,340348
P30041,PRDX6,Peroxiredoxin-6,9588
P51878,CASP5,Caspase-5,838
Q16520,BATF,Basic leucine zipper transcriptional factor ATF-like,10538
Q96FZ7,CHMP6,Charged multivesicular body protein 6,79643
O76071,CIAO1,Probable cytosolic iron-sulfur protein assembly protein CIAO1,9391
O75419,CDC45,Cell division control protein 45 homolog,8318
P26010,ITGB7,Integrin beta-7,3695
Q86Y22,COL23A1,Collagen alpha-1(XXIII) chain,91522
Q96EU6,RRP36,Ribosomal RNA processing protein 36 homolog,88745
O95415,BRI3,Brain protein I3,25798
Q16513,PKN2,Serine/threonine-protein kinase N2,5586
O75335,PPFIA4,Liprin-alpha-4,8497
P42857,NSG1,Neuronal vesicle trafficking-associated protein 1,27065
O95059,RPP14,Ribonuclease P protein subunit p14,11102
Q8TBY8,PMFBP1,Polyamine-modulated factor 1-binding protein 1,83449
Q9HBA0,TRPV4,Transient receptor potential cation channel subfamily V member 4,59341
Q9HBG4,ATP6V0A4,V-type proton ATPase 116 kDa subunit a isoform 4,50617
Q9H1X1,RSPH9,Radial spoke head protein 9 homolog,221421
P61204,ARF3,ADP-ribosylation factor 3,377
Q6IA86,ELP2,Elongator complex protein 2,55250
O60487,MPZL2,Myelin protein zero-like protein 2,10205
Q13015,MLLT11,Protein AF1q,10962
Q86VW1,SLC22A16,Solute carrier family 22 member 16,85413
Q7Z3J2,VPS35L,VPS35 endosomal protein sorting factor-like,57020
Q96I27,ZNF625,Zinc finger protein 625,90589
P45452,MMP13,Collagenase 3,4322
Q9BRT3,MIEN1,Migration and invasion enhancer 1,84299
O00148,DDX39A,ATP-dependent RNA helicase DDX39A,10212
Q17RF5,ODAPH,Odontogenesis associated phosphoprotein,152816
Q9UP83,COG5,Conserved oligomeric Golgi complex subunit 5,10466
P17019,ZNF708,Zinc finger protein 708,7562
Q6P2H8,TMEM53,Transmembrane protein 53,79639
Q9GZY6,LAT2,Linker for activation of T-cells family member 2,7462
O96004,HAND1,Heart- and neural crest derivatives-expressed protein 1,9421
Q8IW92,GLB1L2,Beta-galactosidase-1-like protein 2,89944
Q5HYA8,TMEM67,Meckelin,91147
Q56P42,PYDC2,Pyrin domain-containing protein 2,152138
Q02108,GUCY1A1,Guanylate cyclase soluble subunit alpha-1,2982
Q9UBY5,LPAR3,Lysophosphatidic acid receptor 3,23566
P57772,EEFSEC,Selenocysteine-specific elongation factor,60678
Q6U841,SLC4A10,Sodium-driven chloride bicarbonate exchanger,57282
Q9NVD7,PARVA,Alpha-parvin,55742
Q8NHY5,HUS1B,Checkpoint protein HUS1B,135458
P09417,QDPR,Dihydropteridine reductase,5860
A2RUB6,CCDC66,Coiled-coil domain-containing protein 66,285331
Q969G3,SMARCE1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,6605
Q15058,KIF14,Kinesin-like protein KIF14,9928
P0CG13,CHTF8,Chromosome transmission fidelity protein 8 homolog,54921
Q6UY11,DLK2,Protein delta homolog 2,65989
P54108,CRISP3,Cysteine-rich secretory protein 3,10321
Q6ZS27,ZNF662,Zinc finger protein 662,389114
O43704,SULT1B1,Sulfotransferase family cytosolic 1B member 1,27284
Q6UXE8,BTNL3,Butyrophilin-like protein 3,10917
P00568,AK1,Adenylate kinase isoenzyme 1,203
Q9UIF7,MUTYH,Adenine DNA glycosylase,4595
Q9BQB4,SOST,Sclerostin,50964
Q8WWI5,SLC44A1,Choline transporter-like protein 1,23446
Q9ULU4,ZMYND8,Protein kinase C-binding protein 1,23613
Q8N468,MFSD4A,Major facilitator superfamily domain-containing protein 4A,148808
Q13621,SLC12A1,Solute carrier family 12 member 1,6557
O94993,SOX30,Transcription factor SOX-30,11063
Q96LA6,FCRL1,Fc receptor-like protein 1,115350
Q9P2P1,NYNRIN,Protein NYNRIN,57523
Q9H3S7,PTPN23,Tyrosine-protein phosphatase non-receptor type 23,25930
Q16720,ATP2B3,Plasma membrane calcium-transporting ATPase 3,492
P23142,FBLN1,Fibulin-1,2192
O43795,MYO1B,Unconventional myosin-Ib,4430
P07910,HNRNPC,Heterogeneous nuclear ribonucleoproteins C1/C2,3183
Q6PIS1,SLC23A3,Solute carrier family 23 member 3,151295
Q9NXW9,ALKBH4,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4,54784
Q9NXH8,TOR4A,Torsin-4A,54863
Q9UNH7,SNX6,Sorting nexin-6,58533
Q86US8,SMG6,Telomerase-binding protein EST1A,23293
Q7L2H7,EIF3M,Eukaryotic translation initiation factor 3 subunit M,10480
Q96Q89,KIF20B,Kinesin-like protein KIF20B,9585
Q5R3I4,TTC38,Tetratricopeptide repeat protein 38,55020
P04843,RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,6184
P51649,ALDH5A1,Succinate-semialdehyde dehydrogenase,7915
Q969N2,PIGT,GPI transamidase component PIG-T,51604
Q15669,RHOH,Rho-related GTP-binding protein RhoH,399
Q587J7,TDRD12,Putative ATP-dependent RNA helicase TDRD12,91646
Q9UBD9,CLCF1,Cardiotrophin-like cytokine factor 1,23529
Q06455,RUNX1T1,Protein CBFA2T1,862
P54252,ATXN3,Ataxin-3,4287
Q8IY49,MMD2,Monocyte to macrophage differentiation factor 2,221938
P55344,LIM2,Lens fiber membrane intrinsic protein,3982
Q8IYA6,CKAP2L,Cytoskeleton-associated protein 2-like,150468
P07099,EPHX1,Epoxide hydrolase 1,2052
Q96RJ0,TAAR1,Trace amine-associated receptor 1,134864
A0AVI4,TMEM129,E3 ubiquitin-protein ligase TM129,92305
P63000,RAC1,Ras-related C3 botulinum toxin substrate 1,5879
Q6WKZ4,RAB11FIP1,Rab11 family-interacting protein 1,80223
Q92186,ST8SIA2,Alpha-2,8128
Q9HBI0,PARVG,Gamma-parvin,64098
Q96KN3,PKNOX2,Homeobox protein PKNOX2,63876
Q5VZ89,DENND4C,DENN domain-containing protein 4C,55667
Q8IUA0,WFDC8,WAP four-disulfide core domain protein 8,90199
Q8NGV6,OR5H6,Olfactory receptor 5H6,79295
Q8WXA9,SREK1,Splicing regulatory glutamine/lysine-rich protein 1,140890
P62324,BTG1,Protein BTG1,694
Q6ZVZ8,ASB18,Ankyrin repeat and SOCS box protein 18,401036
Q9UKY1,ZHX1,Zinc fingers and homeoboxes protein 1,11244
Q8N7X1,RBMXL3,RNA-binding motif protein,139804
Q15057,ACAP2,Arf-GAP with coiled-coil,23527
Q9UN42,ATP1B4,Protein ATP1B4,23439
Q15399,TLR1,Toll-like receptor 1,7096
P18545,PDE6G,Retinal rod rhodopsin-sensitive cGMP 3',5148
Q6NUQ4,TMEM214,Transmembrane protein 214,54867
Q96Q83,ALKBH3,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,221120
Q7Z7C8,TAF8,Transcription initiation factor TFIID subunit 8,129685
Q969Q6,PPP2R3C,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma,55012
Q8TDD2,SP7,Transcription factor Sp7,121340
Q9NQL9,DMRT3,Doublesex- and mab-3-related transcription factor 3,58524
Q9Y2I2,NTNG1,Netrin-G1,22854
P43631,KIR2DS2,Killer cell immunoglobulin-like receptor 2DS2,100132285
Q06124,PTPN11,Tyrosine-protein phosphatase non-receptor type 11,5781
Q4G163,FBXO43,F-box only protein 43,286151
P51957,NEK4,Serine/threonine-protein kinase Nek4,6787
P78332,RBM6,RNA-binding protein 6,10180
P22234,PAICS,Multifunctional protein ADE2,10606
Q13360,ZNF177,Zinc finger protein 177,7730
Q14833,GRM4,Metabotropic glutamate receptor 4,2914
P83105,HTRA4,Serine protease HTRA4,203100
Q9BRX5,GINS3,DNA replication complex GINS protein PSF3,64785
Q9Y696,CLIC4,Chloride intracellular channel protein 4,25932
Q6ICG6,KIAA0930,Uncharacterized protein KIAA0930,23313
P50995,ANXA11,Annexin A11,311
P10589,NR2F1,COUP transcription factor 1,7025
P02708,CHRNA1,Acetylcholine receptor subunit alpha,1134
O00622,CCN1,CCN family member 1,3491
O43312,MTSS1,Protein MTSS 1,9788
Q08462,ADCY2,Adenylate cyclase type 2,108
P16949,STMN1,Stathmin,3925
Q5D862,FLG2,Filaggrin-2,388698
Q6UXG3,CD300LG,CMRF35-like molecule 9,146894
Q9NUP1,BLOC1S4,Biogenesis of lysosome-related organelles complex 1 subunit 4,55330
P35610,SOAT1,Sterol O-acyltransferase 1,6646
Q9NRG0,CHRAC1,Chromatin accessibility complex protein 1,54108
O75379,VAMP4,Vesicle-associated membrane protein 4,8674
Q9P2N4,ADAMTS9,A disintegrin and metalloproteinase with thrombospondin motifs 9,56999
Q6B0B8,TIGD3,Tigger transposable element-derived protein 3,220359
Q86U42,PABPN1,Polyadenylate-binding protein 2,8106
Q9Y5P6,GMPPB,Mannose-1-phosphate guanyltransferase beta,29925
Q5T442,GJC2,Gap junction gamma-2 protein,57165
P53007,SLC25A1,Tricarboxylate transport protein,6576
O15031,PLXNB2,Plexin-B2,23654
Q9NX58,LYAR,Cell growth-regulating nucleolar protein,55646
P0C0S8,H2AC11,Histone H2A type 1,8969
P27449,ATP6V0C,V-type proton ATPase 16 kDa proteolipid subunit,527
Q9NPF8,ADAP2,Arf-GAP with dual PH domain-containing protein 2,55803
P35568,IRS1,Insulin receptor substrate 1,3667
P63279,UBE2I,SUMO-conjugating enzyme UBC9,7329
Q96CA5,BIRC7,Baculoviral IAP repeat-containing protein 7,79444
Q9HB21,PLEKHA1,Pleckstrin homology domain-containing family A member 1,59338
Q9H808,TLE6,Transducin-like enhancer protein 6,79816
Q9NQT4,EXOSC5,Exosome complex component RRP46,56915
Q969X2,ST6GALNAC6,Alpha-N-acetylgalactosaminide alpha-2,30815
Q92982,NINJ1,Ninjurin-1,4814
P46779,RPL28,60S ribosomal protein L28,6158
P0C7I6,CCDC159,Coiled-coil domain-containing protein 159,126075
O75385,ULK1,Serine/threonine-protein kinase ULK1,8408
P19801,AOC1,Amiloride-sensitive amine oxidase [copper-containing],26
O43927,CXCL13,C-X-C motif chemokine 13,10563
P43268,ETV4,ETS translocation variant 4,2118
Q86TL0,ATG4D,Cysteine protease ATG4D,84971
Q5VUJ9,EFCAB2,Dynein regulatory complex protein 8,84288
Q86Y78,LYPD6,Ly6/PLAUR domain-containing protein 6,130574
Q86XK7,VSIG1,V-set and immunoglobulin domain-containing protein 1,340547
Q8IV61,RASGRP3,Ras guanyl-releasing protein 3,25780
Q96DE0,NUDT16,U8 snoRNA-decapping enzyme,131870
Q7Z6J9,TSEN54,tRNA-splicing endonuclease subunit Sen54,283989
Q8WVB3,HEXD,Hexosaminidase D,284004
O60244,MED14,Mediator of RNA polymerase II transcription subunit 14,9282
B4DNW0,None,cDNA FLJ60317,100526760
P11441,UBL4A,Ubiquitin-like protein 4A,8266
Q96T66,NMNAT3,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3,349565
Q96MX0,CMTM3,CKLF-like MARVEL transmembrane domain-containing protein 3,123920
Q8WWB5,PIH1D2,PIH1 domain-containing protein 2,120379
P30556,AGTR1,Type-1 angiotensin II receptor,185
P78417,GSTO1,Glutathione S-transferase omega-1,9446
Q9P013,CWC15,Spliceosome-associated protein CWC15 homolog,51503
P61019,RAB2A,Ras-related protein Rab-2A,5862
Q9H4K7,MTG2,Mitochondrial ribosome-associated GTPase 2,26164
O95825,CRYZL1,Quinone oxidoreductase-like protein 1,9946
Q9H7Z3,NRDE2,Nuclear exosome regulator NRDE2,55051
Q9Y613,FHOD1,FH1/FH2 domain-containing protein 1,29109
O95628,CNOT4,CCR4-NOT transcription complex subunit 4,4850
Q96J42,TXNDC15,Thioredoxin domain-containing protein 15,79770
